Date,Open,High,Low,Close,Adj Close,Volume
2014-02-18,90.970001,91.339996,90.720001,91.169998,87.217995,505200
2014-02-19,90.900002,91.379997,90.570000,90.669998,86.739670,406600
2014-02-20,90.699997,91.209999,90.269997,91.089996,87.141457,244800
2014-02-21,91.250000,91.500000,90.800003,90.849998,86.911865,306700
2014-02-24,90.949997,91.750000,90.849998,91.339996,87.380615,547000
2014-02-25,91.419998,91.489998,90.849998,91.110001,87.160591,305600
2014-02-26,91.389999,91.800003,91.000000,91.339996,87.380615,319300
2014-02-27,91.349998,92.080002,91.269997,92.019997,88.031143,226300
2014-02-28,92.070000,92.459999,90.980003,91.690002,87.715454,951500
2014-03-03,90.830002,91.199997,90.209999,91.010002,87.064926,388700
2014-03-04,92.059998,92.690002,92.059998,92.510002,88.499908,689200
2014-03-05,92.669998,92.790001,92.410004,92.699997,88.681671,344400
2014-03-06,92.889999,92.940002,92.489998,92.639999,88.624268,234000
2014-03-07,92.940002,92.989998,91.989998,92.370003,88.365982,262900
2014-03-10,92.339996,92.550003,91.820000,92.139999,88.145927,259300
2014-03-11,92.419998,92.690002,91.540001,91.809998,87.830246,267400
2014-03-12,91.449997,92.139999,91.029999,92.110001,88.117249,228900
2014-03-13,92.400002,92.419998,90.300003,90.639999,86.710960,507800
2014-03-14,90.360001,90.910004,90.139999,90.180000,86.270912,433100
2014-03-17,90.709999,91.459999,90.589996,91.209999,87.256256,339800
2014-03-18,91.419998,92.660004,91.360001,92.559998,88.547737,286400
2014-03-19,92.580002,92.709999,91.540001,92.099998,88.107674,323600
2014-03-20,91.959999,92.940002,91.790001,92.610001,88.595581,232600
2014-03-21,93.290001,93.300003,91.910004,92.089996,88.098106,259800
2014-03-24,92.239998,92.629997,90.839996,91.599998,87.629349,1612900
2014-03-25,91.930000,92.580002,91.379997,92.099998,88.107674,636000
2014-03-26,92.599998,92.739998,90.760002,90.760002,86.825760,585600
2014-03-27,90.760002,90.879997,89.870003,90.239998,86.328300,471100
2014-03-28,90.610001,91.389999,90.330002,90.570000,86.643997,380400
2014-03-31,91.169998,91.849998,91.110001,91.529999,87.562378,290300
2014-04-01,91.839996,92.779999,91.750000,92.750000,88.729500,418900
2014-04-02,93.010002,93.010002,92.349998,92.790001,88.767769,347400
2014-04-03,92.790001,93.110001,91.730003,92.029999,88.040703,348900
2014-04-04,92.570000,92.750000,89.650002,89.940002,86.041321,550700
2014-04-07,89.500000,90.080002,88.570000,89.110001,85.247284,505500
2014-04-08,89.139999,90.010002,88.860001,89.900002,86.003052,345700
2014-04-09,90.349998,91.410004,90.040001,91.349998,87.390182,314500
2014-04-10,91.489998,91.519997,88.720001,88.940002,85.084663,382000
2014-04-11,88.139999,89.029999,87.559998,87.769997,83.965370,486500
2014-04-14,88.320000,88.970001,87.839996,88.580002,84.740250,405300
